	index	Date	HomeTeam	AwayTeam	FTHG	FTAG	HS	AS	HST	AST	HTHG	HTAG	HF	AF	FTR	HTR	HY	AY	HR	AR	WHH	WHD	WHA	Season	watch	AGS	AGA	AYC	ARC	AWW	HGS	HGA	HYC	HRC	HWW
39	51	2000-09-16	Charlton	Tottenham	1	0	9	10	5	5	1	0	8	10	H	H	0	0	0	0	2.62	3.25	2.3	00	0	1.6	1.2	0.6	0.0	0.4	2.0	2.2	1.4	0.4	0.6
40	52	2000-09-16	Everton	Man United	1	3	6	17	4	9	0	3	10	11	A	A	4	1	0	0	4.33	3.3	1.7	00	1	2.8	0.6	1.0	0.0	0.4	1.8	1.6	1.8	0.0	0.4
41	53	2000-09-16	Leeds	Ipswich	1	2	11	12	6	7	1	1	12	19	A	D	1	3	0	0	1.5	3.4	6.0	00	1	1.0	1.6	0.8	0.0	0.2	1.25	0.75	1.25	0.0	0.25
42	54	2000-09-16	Southampton	Newcastle	2	0	13	10	9	7	0	0	14	14	H	D	0	0	0	0	2.75	3.25	2.2	00	0	1.4	0.8	0.4	0.2	0.2	1.4	1.8	1.8	0.0	0.4
43	55	2000-09-16	Sunderland	Derby	2	1	15	10	8	5	1	0	16	28	H	H	2	3	0	0	1.72	3.4	4.0	00	0	2.2	2.4	2.6	0.0	1.0	0.8	1.8	2.4	0.0	0.2
44	56	2000-09-17	Chelsea	Leicester	0	2	16	7	10	5	0	1	16	17	A	A	3	1	0	0	1.53	3.4	5.5	00	0	0.8	0.2	1.6	0.0	0.0	1.4	1.4	1.8	0.0	0.4
45	57	2000-09-17	Man City	Middlesbrough	1	1	11	4	4	2	0	0	15	11	D	D	2	5	0	0	2.3	3.25	2.62	00	0	1.8	1.8	2.4	0.0	0.6	1.8	2.4	2.6	0.0	0.6
46	58	2000-09-17	West Ham	Liverpool	1	1	15	7	4	2	0	1	5	13	D	A	0	2	0	0	2.62	3.25	2.3	00	0	2.0	1.6	1.6	0.4	0.6	1.0	1.8	2.2	0.2	0.4
47	59	2000-09-23	Bradford	Southampton	0	1	14	6	6	4	0	1	14	18	A	A	3	1	0	0	2.2	3.25	2.75	00	0	1.5	1.5	1.5	0.0	0.3333333333333333	0.5	1.6666666666666667	0.8333333333333334	0.0	0.16666666666666666
48	60	2000-09-23	Coventry	West Ham	0	3	9	12	2	10	0	2	12	11	A	A	0	1	0	0	2.2	3.25	2.75	00	0	1.0	1.6666666666666667	1.8333333333333333	0.16666666666666666	0.3333333333333333	1.0	1.5	2.6666666666666665	0.16666666666666666	0.16666666666666666
49	61	2000-09-23	Derby	Leeds	1	1	13	16	7	6	0	1	17	15	D	A	2	2	1	0	3.2	3.2	2.0	00	0	1.2	1.0	1.2	0.0	0.4	2.0	2.3333333333333335	2.6666666666666665	0.0	0.8333333333333334
50	62	2000-09-23	Ipswich	Arsenal	1	1	17	10	6	4	0	0	8	13	D	D	1	2	0	0	4.5	3.3	1.66	00	0	2.0	1.3333333333333333	1.1666666666666667	0.3333333333333333	0.3333333333333333	1.1666666666666667	1.5	1.1666666666666667	0.0	0.3333333333333333
