,Date,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HTHG,HTAG,HF,AF,FTR,HTR,HY,AY,HR,AR,WHH,WHD,WHA,Season,watch,AGS,AGA,AYC,ARC,AWW,HGS,HGA,HYC,HRC,HWW,HP,AP
66,2000-10-01,Sunderland,Leicester,0,0,11,8,5,2,0,0,12,8,D,D,3,1,0,0,1.9,3.2,3.5,0,0,1.0,0.2857142857142857,1.7142857142857142,0.0,0.0,1.0,1.5714285714285714,2.2857142857142856,0.0,0.14285714285714285,5,11
67,2000-10-14,Arsenal,Aston Villa,1,0,16,8,10,3,0,0,12,20,H,D,1,4,0,1,1.53,3.4,5.5,0,0,1.5714285714285714,1.0,1.2857142857142858,0.0,0.2857142857142857,1.75,1.125,1.375,0.25,0.25,15,10
68,2000-10-14,Coventry,Tottenham,2,1,0,4,5,5,2,0,12,16,H,H,0,4,1,0,2.62,3.1,2.37,0,0,1.375,1.375,0.625,0.0,0.375,1.0,1.75,2.25,0.125,0.25,8,8
69,2000-10-14,Everton,Southampton,1,1,7,7,3,4,0,0,16,13,D,D,1,3,0,0,1.8,3.3,3.75,0,0,1.375,1.5,1.5,0.0,0.375,1.375,1.875,1.875,0.0,0.375,8,8
70,2000-10-14,Ipswich,West Ham,1,1,11,7,8,2,1,0,10,11,D,H,0,4,0,0,2.37,3.1,2.62,0,0,1.25,1.375,1.875,0.125,0.25,1.375,1.25,1.0,0.0,0.25,11,7
71,2000-10-14,Leeds,Charlton,3,1,22,10,10,8,1,0,7,9,H,H,0,1,0,0,1.5,3.6,5.5,0,1,1.75,1.625,1.25,0.25,0.5,1.5714285714285714,1.2857142857142858,1.1428571428571428,0.0,0.42857142857142855,8,9
72,2000-10-14,Leicester,Man United,0,3,10,16,4,5,0,1,8,11,A,A,0,0,0,0,3.75,3.3,1.8,0,0,2.5,1.0,1.5,0.0,0.5,0.875,0.25,1.625,0.0,0.0,12,12
73,2000-10-14,Man City,Bradford,2,0,13,10,10,2,2,0,10,16,H,H,0,2,0,0,1.8,3.3,3.75,0,0,0.5,1.5,1.25,0.0,0.125,1.25,1.75,2.125,0.0,0.375,8,6
74,2000-10-14,Sunderland,Chelsea,1,0,16,11,11,2,0,0,12,18,H,D,0,1,1,1,3.0,3.2,2.1,0,0,1.625,1.5,1.875,0.0,0.375,0.875,1.375,2.375,0.0,0.125,6,6
75,2000-10-15,Derby,Liverpool,0,4,6,16,0,11,0,1,18,13,A,A,1,1,0,0,3.75,3.2,1.83,0,1,1.5,1.625,1.625,0.25,0.375,1.75,2.375,2.375,0.125,0.75,4,9
